RA,Dec,GZID
209.455163857654,32.5909546961957,1237665128552857809
130.493948265035,57.591927078472,1237663547441676374
202.233352913194,10.8784591996087,1237671958588424370
164.10871921623,25.5168512960934,1237667322711900242
114.404675194582,41.9470309234942,1237673706651779130
257.553026965761,30.3082108262638,1237655473436819679
217.07496483559,57.1718004007252,1237655463239155886
125.069038918227,20.8750591096054,1237674371291349366
183.575324825211,59.6153613323711,1237658609293066298
236.688407195092,31.0112332928215,1237662619186561195
210.611391969208,9.63899106823144,1237662264314888225
311.829440941873,0.320820470840696,1237656895066931656
217.757313027295,1.24284913872621,1237651735236640778
120.854439436666,13.693122562795,1237667211039604828
195.358850418434,27.8859729562161,1237667444048855053
201.317059879835,40.5135168605014,1237661966361755704
183.342459781327,28.510977057948,1237667324330115100
197.388047237817,1.67306292652134,1237651752944205838
176.696557381153,20.6754126231589,1237668294986760211
141.157202513281,49.3570681302752,1237657771780866133
209.65821063132,37.4245054106365,1237662225149722680
246.120617098896,32.4939435245759,1237662302447337614
193.835176868771,35.500297762319,1237665025981939812
126.925100300618,21.4790826839901,1237674371292135455
163.062322265435,30.057866385835,1237665367968317503
202.517508576175,-1.71776557251705,1237655499737661519
224.511364907268,34.3497683436117,1237662305656439014
184.492143462238,7.1859090668057,1237661971185336496
190.738602466054,-1.22942699333101,1237671764786020385
178.744640716383,58.493609402216,1237657613413449748
208.235648958445,2.81427873666305,1237651754559537188
216.825955528621,4.80281947732793,1237651823246639198
30.5514007073928,-0.100626258882906,1237666407918927886
178.869590386092,11.9683624522889,1237661949178216472
155.66966416804,46.2386778514161,1237658613050572806
133.58998756994,32.6808523714474,1237660765376413916
202.358049323322,11.0079111588495,1237671992947703853
209.212566154345,37.7972461202694,1237664295298662446
149.921718531843,35.3928028803829,1237662226202755144
204.109164178741,7.36958817555322,1237662246593429648
162.666049541992,65.7272089530777,1237651538708332695
147.269612716688,13.8806730017716,1237671261204709602
205.00555011927,7.36744492585339,1237662246593822914
229.164876321548,42.9538695236426,1237662301903061116
146.458159729326,28.4730119402007,1237665127992525016
154.35587281145,64.7165146437865,1237651539243630728
179.934369086844,-3.39901883732101,1237650369408139534
162.163282985636,21.7390321435731,1237667736110235740
140.783849871513,2.48608994130523,1237673708796248241
181.706090183452,25.0031571705099,1237667911665647748
116.578421533001,39.0668658949288,1237651191887691953
237.970989245874,25.9783308431038,1237662224087580955
231.205264269384,42.172582903234,1237662500002529464
54.8917875765833,-0.511942492129994,1237666300020719764
145.443272506322,46.9738558442676,1237657241898319966
44.2989337080857,-0.223070995786524,1237663783679885466
175.467432817603,2.58199078023322,1237651754008313972
132.060745092944,28.2608529071556,1237661124541087880
180.21043705344,31.8784209135611,1237665226229940380
198.04708478439,21.4051589005882,1237667734514172084
188.257518147015,56.8693524259179,1237657611268128988
160.993306379518,1.93582618788714,1237651753465151591
