ra	dec	name
 10.391220	 -10.021430	NGC217 
 187.768580	 -8.053920	NGC4487 
 112.576630	 79.872530	IC467 
 20.334880	 40.488190	NGC477 
 166.153990	 45.125220	PGC33465 
 68.483920	 1.113520	UGC3091 
 309.097800	 -4.618740	NGC6941 
 53.415300	 -5.089400	NGC1358 
 177.332710	 74.302190	PGC36925 
 9.053960	 1.712440	PGC02162 
 187.651000	 41.643900	NGC4490 
 167.776510	 43.633010	IC674 
 1.275970	 6.920110	NGC7824 
 124.835550	 50.009630	NGC2552 
 129.422850	 51.652400	UGC4499 
 117.978080	 73.015690	UGC4036 
 183.810170	 20.658590	NGC4204 
 232.652480	 42.717150	NGC5947 
 32.921610	 -9.305990	NGC853 
 213.094960	 50.348420	NGC5520 
 208.916430	 40.461760	NGC5371 
 209.212570	 37.797240	NGC5378 
 269.855290	 6.287030	NGC6509 
 233.903720	 56.461690	NGC5971 
 246.534730	 48.366810	NGC6155 
 133.668880	 47.104890	UGC4659 
 90.282550	 -23.672640	NGC2139 
 10.866010	 -0.124930	NGC237 
 180.098440	 -1.100090	NGC4030 
 76.362920	 -11.871530	NGC1784 
 215.127040	 10.432080	UGC9177 
 178.903920	 1.237170	UGC6903 
 18.876840	 -0.860970	NGC450 
 346.886290	 22.998000	NGC7489 
 173.338010	 47.029210	UGC6537 
 120.471710	 50.737110	NGC2500 
 246.377020	 49.840260	NGC6154 
 33.865170	 6.002610	NGC864 
 169.588850	 45.748210	NGC3614 
 236.642690	 33.223250	PGC56010 
 181.046480	 18.443420	NGC4064 
 122.563250	 33.956630	UGC4256 
 209.270720	 41.846260	NGC5383 
 30.629080	 11.093080	UGC1529 
 151.021880	 31.185460	NGC3106 
 202.514910	 62.511570	NGC5205 
 212.689420	 15.209410	UGC9067 
 295.669350	 -10.323490	NGC6814 
 145.776000	 41.093030	PGC27792 
 119.485360	 25.160860	NGC2486 
 217.681650	 29.180830	NGC5657 
 10.591920	 29.641640	UGC448 
 78.013870	 -15.687810	NGC1832 
 218.351410	 4.450460	NGC5668 
 192.610760	 25.500800	NGC4725 
 242.643120	 10.040370	IC1199 
 179.403610	 32.277620	NGC3994 
 182.506330	 39.883860	UGC7154 
 208.094770	 21.539350	UGC8781 
 147.547120	 16.286670	PGC28310 
 230.965310	 58.052940	UGC9837 
 9.393080	 -22.549250	NGC177 
 197.447860	 28.906950	NGC5000 
 124.814690	 24.792650	PGC23333 
 119.585270	 25.149210	NGC2487 
 218.181210	 9.890440	NGC5669 
 202.402130	 58.418720	NGC5204 
 2.842900	 6.389370	NGC36 
 126.132790	 54.853890	PGC23598 
 210.083830	 38.915420	NGC5406 
 58.268000	 35.591940	UGC2885 
 9.339710	 -19.934250	NGC171 
 216.868260	 46.146530	NGC5633 
 226.782030	 1.544240	NGC5850 
 111.809830	 85.754560	NGC2276 
 179.399920	 53.374530	NGC3992 
 1.816000	 27.708080	NGC1 
 32.115580	 6.394920	UGC1635 
 116.038750	 29.246670	UGC3995 
 22.860830	 14.277500	PGC05673 
 128.822220	 28.473420	NGC2608 
 70.728790	 0.618580	UGC3140 
 192.298310	 3.388710	NGC4701 
 241.466580	 21.484970	NGC6060 
 228.280720	 41.264630	NGC5888 
 207.162080	 43.412390	UGC8733 
 356.088080	 9.934080	NGC7743 
 14.703580	 0.587260	PGC03512 
 140.085040	 64.102780	UGC4936 
 348.821790	 19.041690	NGC7549 
 196.518450	 55.656090	UGC8196 
 159.789410	 41.686680	NGC3319 
 27.874670	 13.131710	PGC06855 
 163.108230	 10.547250	PGC32638 
 94.091790	 -21.372670	NGC2207 
 111.197100	 32.803970	PGC20938 
 39.812140	 30.151390	NGC1012 
 192.754540	 -6.393060	NGC4731 
 354.131040	 0.297280	NGC7716 
 277.648870	 42.692750	UGC11262 
 115.636660	 49.809650	UGC3973 
 192.721090	 41.120460	NGC4736 
 344.581580	 26.061940	UGC12274 
 182.635740	 39.405730	NGC4151 
 247.766160	 41.156040	PGC58410 
 237.594680	 18.939280	NGC6004 
 2.472540	 25.923780	NGC23 
 71.026600	 -5.465600	NGC1645 
 357.961040	 3.082720	UGC12816 
 184.762080	 8.856110	IC776 
 181.595800	 52.711080	NGC4102 
 0.773580	 -1.913810	UGC5 
 191.109150	 37.121220	UGC7917 
 339.116750	 21.621810	NGC7321 
 203.043250	 62.767750	NGC5218 
 244.076440	 47.046410	UGC10310 
 29.670560	 0.529220	NGC768 
 10.884980	 14.342560	UGC463 
 240.754690	 20.955940	NGC6032 
 18.232120	 0.981560	NGC428 
 234.400910	 5.974010	NGC5964 
 170.261980	 53.169570	NGC3631 
 121.408500	 -11.427030	NGC2525 
 107.005330	 15.178420	UGC3691 
 155.448300	 56.930420	NGC3206 
 143.740010	 21.705270	NGC2916 
 49.921170	 -19.411360	NGC1300 
 18.956670	 31.080250	NGC444 
