PanStarrs_name,dr7objid,ra_panstarr,dec_panstarr,ra_sdss,dec_sdss,spherical_cos_distance
NGC4254 ,587738568703344969,3.22373971642756,0.25161556614668773,3.2224513084947533,0.2526621746166451,0.9999986739657567
NGC2998 ,587732484348903501,2.5688070090117905,0.7693662670203292,2.568807117882305,0.7693660975408042,0.9999999999999827
NGC257 ,587724197202624647,0.20954929144926998,0.1448113643013711,0.20729508709998962,0.23813422258055764,0.9956461383603732
NGC2730 ,588023239669842054,2.3660721810940064,0.2938837754385612,2.3660726347664625,0.2938825364485884,0.9999999999991381
NGC895 ,587724243103056015,0.6178807636593318,-0.09636643478668971,0.6220790745180116,-0.12900834046395968,0.999458601188829
NGC5720 ,587733412595040281,3.833418654332995,0.8868927245923478,3.8334183120353216,0.886893340110199,0.9999999999997873
NGC1744 ,587727177940009063,1.3088368923033393,-0.4541734176783188,1.104880881239385,-0.11374760328436508,0.9241071382028054
NGC4236 ,587725819097907329,3.2144688765068166,1.2123507279299628,3.218518631906898,1.1998012267275953,0.9999202130783194
UGC4458 ,587739153357078672,2.2348434926304312,0.3937560530937319,2.2346477924644454,0.39374496102376266,0.9999999836078042
NGC3642 ,587732582056525908,2.9770875176076936,1.0310447035023154,2.9770876696942183,1.0310448461579556,0.9999999999999868
UGC10811 ,587725505021280402,4.532309049756568,1.0146490805090806,4.532309353599314,1.0146491987187107,0.9999999999999801
NGC2336 ,587738068350927055,1.9506998761484746,1.399371483927415,2.609535011236931,1.2264233456404714,0.9730282314154725
NGC497 ,587731511532847214,0.35952141981586316,-0.015275296146379572,0.35952131152755545,-0.015275255342850746,0.9999999999999933
NGC3687 ,587741490373328932,3.0020104702603225,0.5150651627535978,3.0020104397539042,0.5150650779340414,0.999999999999996
NGC6301 ,587739861496103175,4.487877155790997,0.7389570463969816,4.487010510065117,0.7387474032833513,0.9999997728016907
UGC7012 ,587741532789211171,3.1505484615805517,0.5209458751352675,3.150548065330301,0.5209455896719953,0.9999999999999001
NGC5789 ,587739131349041270,3.912120786293175,0.5276833696467412,3.912032550423117,0.5277728986871504,0.9999999930866413
PGC07826 ,587724234256941218,0.53815778861966,0.3251480328624608,0.5329857325362231,0.2591744265892935,0.9978122799234728
NGC4051 ,588017604146167988,3.1553818018780997,0.7772183287921264,3.1556127023233054,0.7758440868259269,0.999999042164558
